"http://dbpedia.org/page/Windows_1.0","Windows 1 . 0","0"
"http://dbpedia.org/page/Windows_2.0","Windows 2 . 0","1"
"http://dbpedia.org/page/Windows_3.0","Windows 3 . 0","2"
"http://dbpedia.org/page/Windows_3.1x","Windows 3 . 1","3"
"http://dbpedia.org/page/Windows_3.1x","Windows for Workgroups 3 . 1","4"
"http://dbpedia.org/page/Windows_3.1x","Windows for Workgroups 3 . 11","5"
"http://dbpedia.org/page/Windows_95","Windows 95","6"
"http://dbpedia.org/page/Windows_Nashville","Windows Nashville","7"
"http://dbpedia.org/page/Windows_98","Windows 98","8"
"http://dbpedia.org/page/Windows_98","Windows 98 Second Edition","9"
"http://dbpedia.org/page/Windows_98","Windows Millennium Edition ( Me )","10"
