,Cape Feare,2
http://dbpedia.org/page/Rosebud_(The_Simpsons),Rosebud,11
http://dbpedia.org/page/Homer%27s_Barbershop_Quartet,Homer&apos;s Barbershop Quartet,27
http://dbpedia.org/resource/Deep_Space_Homer,Deep Space Homer,36
http://dbpedia.org/page/Boy-Scoutz_%27n_the_Hood,Boy - Scoutz N The Hood,47
http://dbpedia.org/page/Homer_the_Vigilante,Homer The Vigilante,57
http://dbpedia.org/page/Treehouse_of_Horror_IV,Treehouse of Horror IV,64
http://dbpedia.org/resource/The_Last_Temptation_of_Homer,The Last Temptation of Homer,69
http://dbpedia.org/resource/Secrets_of_a_Successful_Marriage,Secrets of a Successful Marriage,70
http://dbpedia.org/page/The_Boy_Who_Knew_Too_Much_(The_Simpsons),The Boy Who Knew Too Much,85
http://dbpedia.org/page/$pringfield_(or,_How_I_Learned_to_Stop_Worrying_and_Love_Legalized_Gambling),"$pringfield ( Or , How I Learned to Stop Worrying and Love Legalized Gambling",95
http://dbpedia.org/resource/Homer_Loves_Flanders,Homer Loves Flanders,97
